Movie Name,ReleaseYear,Director,Age Difference,Actor 1 Name,Actor 1 Gender,Actor 1 Birthdate,Actor 1 Age,Actor 2 Name,Actor 2 Gender,Actor 2 Birthdate,Actor 2 Age
Black Mass,2015,Scott Cooper,26,Johnny Depp,man,1963-06-09,52,Dakota Johnson,woman,1989-10-04,26
Dark Shadows,2012,Tim Burton,24,Johnny Depp,man,1963-06-09,49,Bella Heathcote,woman,1987-05-27,25
The Rum Diary,2011,Bruce Robinson,23,Johnny Depp,man,1963-06-09,48,Amber Heard,woman,1986-04-22,25
The Mummy,2017,Alex Kurtzman,22,Tom Cruise,man,1962-07-03,55,Annabelle Wallis,woman,1984-09-25,33
Transcendence,2014,Wally Pfister,19,Johnny Depp,man,1963-06-09,51,Rebecca Hall,woman,1982-05-03,32
Oblivion,2013,Joseph Kosinski,17,Tom Cruise,man,1962-07-03,51,Olga Kurylenko,woman,1979-11-14,34
Sleepy Hollow,1999,Tim Burton,17,Johnny Depp,man,1963-06-09,36,Christina Ricci,woman,1980-02-12,19
Rock of Ages,2012,Adam Shankman,16,Tom Cruise,man,1962-07-03,50,Malin Akerman,woman,1978-05-12,34
The Wolf of Wall Street,2013,Martin Scorsese,16,Leonardo DiCaprio,man,1974-11-11,39,Margot Robbie,woman,1990-07-02,23
Troy,2004,Wolfgang Petersen,16,Brad Pitt,man,1963-12-18,41,Rose Byrne,woman,1979-07-24,25
Mission: Impossible III,2006,J.J. Abrams,14,Tom Cruise,man,1962-07-03,44,Michelle Monaghan,woman,1976-03-23,30
Allied,2016,Robert Zemeckis,12,Brad Pitt,man,1963-12-18,53,Marion Cotillard,woman,1975-09-30,41
Mr. & Mrs. Smith,2005,Doug Liman,12,Brad Pitt,man,1963-12-18,42,Angelina Jolie,woman,1975-06-04,30
The Astronaut's Wife,1999,Rand Ravich,12,Johnny Depp,man,1963-06-09,36,Charlize Theron,woman,1975-08-07,24
World War Z,2013,Marc Forster,12,Brad Pitt,man,1963-12-18,50,Mireille Enos,woman,1975-09-22,38
Blow,2001,Ted Demme,11,Johnny Depp,man,1963-06-09,38,Penelope Cruz,woman,1974-04-28,27
The Great Gatsby,2013,Baz Luhrmann,11,Leonardo DiCaprio,man,1974-11-11,39,Carey Mulligan,woman,1985-05-28,28
The Wolf of Wall Street,2013,Martin Scorsese,11,Leonardo DiCaprio,man,1974-11-11,39,Cristin Milioti,woman,1985-08-16,28
What's Eating Gilbert Grape,1993,Lasse Hallström,10,Johnny Depp,man,1963-06-09,30,Juliette Lewis,woman,1973-06-21,20
Seven,1995,David Fincher,9,Brad Pitt,man,1963-12-18,32,Gwyneth Paltrow,woman,1972-09-27,23
Edward Scissorhands,1990,Tim Burton,8,Johnny Depp,man,1963-06-09,27,Winona Ryder,woman,1971-10-29,19
Meet Joe Black,1998,Martin Brest,8,Brad Pitt,man,1963-12-18,35,Claire Forlani,woman,1971-12-17,27
Jerry Maguire,2006,Cameron Crowe,7,Tom Cruise,man,1962-07-03,44,Renee Zellweger,woman,1969-04-25,37
The Curious Case of Benjamin Button,2008,David Fincher,6,Brad Pitt,man,1963-12-18,45,Cate Blanchett,woman,1969-05-14,39
Days of Thunder,1990,Tony Scott,5,Tom Cruise,man,1962-07-03,28,Nicole Kidman,woman,1967-06-20,23
Ed Wood,1994,Tim Burton,5,Johnny Depp,man,1963-06-09,31,Patricia Arquette,woman,1968-04-08,26
Top Gun,1986,Tony Scott,5,Tom Cruise,man,1962-07-03,24,Kelly McGillis,woman,1957-07-09,29
Fight Club,1999,David Fincher,3,Brad Pitt,man,1963-12-18,36,Helena Bonham Carter,woman,1966-05-26,33
Risky Business,1983,Paul Brickman,3,Tom Cruise,man,1962-07-03,21,Rebecca De Mornay,woman,1959-08-29,24
Ed Wood,1994,Tim Burton,2,Johnny Depp,man,1963-06-09,31,Sarah Jessica Parker,woman,1965-03-25,29
The Beach,2000,Danny Boyle,2,Leonardo DiCaprio,man,1974-11-11,26,Virginie Ledoyen,woman,1976-11-15,24
Chocolat,2000,Lasse Hallström,1,Johnny Depp,man,1963-06-09,37,Juliette Binoche,woman,1964-03-09,36
Cocktail,1988,Homi Adajania,1,Tom Cruise,man,1962-07-03,26,Elisabeth Shue,woman,1963-10-06,25
Inception,2010,Christopher Nolan,1,Leonardo DiCaprio,man,1974-11-11,36,Marion Cotillard,woman,1975-09-30,35
Titanic,1997,James Cameron,1,Leonardo DiCaprio,man,1974-11-11,23,Kate Winslet,woman,1975-10-05,22
